subject,spikeStart,channels,numChannels
tester1,278295,"['5', '4', '3']",3
tester1,278926,['3'],1
tester1,279695,['6'],1
tester1,281002,['2'],1
tester1,281004,['3'],1
tester1,281746,"['5', '4', '3']",3
tester1,284273,"['7', '9', '6', '0', '8']",5
tester1,284854,"['2', '3']",2
tester1,285374,"['9', '7', '8', '3']",4
tester1,286282,['3'],1
tester1,286645,"['8', '3']",2
tester1,287423,['3'],1
tester1,288465,"['2', '3']",2
tester1,289445,['3'],1
tester1,290189,"['10', '7', '8']",3
tester1,291036,['3'],1
tester1,291425,"['10', '3']",2
tester1,292139,['3'],1
tester1,292511,['3'],1
tester1,293123,['3'],1
tester1,294539,"['5', '4', '3']",3
tester1,295014,"['4', '3']",2
tester1,295737,['3'],1
tester1,296403,['3'],1
tester1,296727,['3'],1
tester1,297339,"['4', '3']",2
tester1,298673,['3'],1
tester1,299367,"['5', '2', '4', '3']",4
tester1,299927,"['5', '4', '3']",3
tester1,300650,"['10', '1', '7', '9', '0', '6', '8']",7
tester1,301384,"['4', '3']",2
tester1,302582,"['4', '3']",2
tester1,302950,['3'],1
tester1,303491,['3'],1
tester1,304761,['3'],1
tester1,306111,['3'],1
tester1,306532,['3'],1
tester1,307030,['3'],1
tester1,307975,['3'],1
tester1,308448,['3'],1
tester1,308670,['3'],1
tester1,309438,"['7', '4', '6', '3']",4
tester1,310048,['3'],1
tester1,310482,"['4', '3']",2
tester1,311471,['3'],1
tester1,312737,['3'],1
tester1,312908,"['10', '7', '9', '3', '8']",5
tester1,313434,['3'],1
tester1,314364,['3'],1
tester1,314965,"['4', '3']",2
tester1,316634,['3'],1
tester1,317100,['3'],1
tester1,317850,['3'],1
tester1,318255,['3'],1
tester1,319818,['3'],1
tester1,320200,['3'],1
tester1,320860,['3'],1
tester1,321732,['3'],1
tester1,322133,"['5', '4', '3']",3
tester1,322592,['3'],1
tester1,323246,['3'],1
tester1,323784,['3'],1
tester1,324518,['3'],1
tester1,325120,"['5', '4', '3']",3
tester1,326221,"['5', '4', '3']",3
tester1,327352,"['10', '7', '11', '9', '6', '3', '0', '8']",8
tester1,328508,['3'],1
tester1,329334,['3'],1
tester1,329831,['3'],1
tester1,330514,['3'],1
tester1,331224,"['9', '8']",2
tester1,331725,"['2', '4', '3']",3
tester1,332323,['3'],1
tester1,332921,"['4', '3']",2
tester1,333435,['3'],1
tester1,334236,['3'],1
tester1,334600,['3'],1
tester1,337028,"['5', '2', '4', '3']",4
tester1,337832,"['4', '3']",2
tester1,338062,"['2', '4', '3']",3
tester1,341076,['3'],1
tester1,342575,['3'],1
tester1,343151,['3'],1
tester1,343492,['3'],1
tester1,344592,"['4', '3']",2
tester1,345062,['3'],1
tester1,345269,['3'],1
tester1,348145,['3'],1
tester1,348719,['3'],1
tester1,349457,['3'],1
tester1,350326,['3'],1
tester1,350752,['3'],1
tester1,351505,['3'],1
tester1,352123,['3'],1
tester1,352672,['3'],1
tester1,353226,['3'],1
tester1,353733,"['4', '3']",2
tester1,354376,['3'],1
tester1,355311,['3'],1
tester1,355606,['3'],1
tester1,356496,['3'],1
tester1,358172,"['2', '5', '4', '3']",4
tester1,358497,"['2', '4', '3']",3
tester1,359535,"['4', '3']",2
tester1,360497,['3'],1
tester1,362309,['3'],1
tester1,362870,"['5', '4', '3']",3
tester1,363685,['3'],1
tester1,364628,['3'],1
tester1,365127,"['5', '4', '3']",3
tester1,365619,['3'],1
tester1,366390,['3'],1
tester1,367183,['3'],1
tester1,367862,"['1', '2', '4', '3']",4
tester1,369137,"['2', '4', '3']",3
tester1,369442,['3'],1
tester1,370005,['3'],1
tester1,371280,['3'],1
tester1,372276,['3'],1
tester1,372925,"['2', '4', '3']",3
tester1,374469,['3'],1
tester1,374810,['3'],1
tester1,375580,['3'],1
tester1,376153,['3'],1
tester1,376500,['3'],1
tester1,377193,"['5', '4', '3']",3
tester1,378080,"['8', '3']",2
tester1,378542,"['4', '3']",2
tester1,379133,['3'],1
tester1,379762,"['5', '4', '3']",3
tester1,380428,"['5', '4', '3']",3
tester1,382314,['3'],1
tester1,382587,['3'],1
tester1,383079,['3'],1
tester1,383649,['3'],1
tester1,386786,"['5', '4', '3']",3
tester1,387625,"['6', '5', '0', '3']",4
tester1,388186,"['5', '4', '3']",3
tester1,388755,['3'],1
tester1,389345,['3'],1
tester1,389857,['3'],1
tester1,390333,"['0', '5', '4', '3']",4
tester1,391002,"['4', '3']",2
tester1,392219,['3'],1
tester1,394032,['8'],1
tester1,395551,['3'],1
